Vendor,Vendor Style #,UPC,Title,Description (HTML),Brand,Fulfillment Type,Department,CC Color (LMD),Size,CC Retail,MSRP,Cost/% Rev Share,Quantity Available,Accumula,1-Class,2-Subclass,3-Payment Type,4-Material Type,5-Season Code,6-Aesthetic Range,7-Pattern/Length,8-Sale,9-Collection,Future Tag 1,Future Tag 2,Primary Color,Feature1 (Amazon),Feature2 (Amazon),Feature3 (Amazon),Keywords (Amazon),Height (in),Width (in),Length,Amazon Retail,01 -1 Cumberland Mall - Quantity on Hand,02 -1 Mall in Columbia - Quantity on Hand,03 - 1  Towson Town Center - Quantity on Hand,04 - 1 TBD - Quantity on Hand,05 - 1 TBD - Quantity on Hand,06 - 1 TBD - Quantity on Hand,07 -1 TBD - Quantity on Hand,08 - 1 TBD - Quantity on Hand,09-1 TBD - Quantity on Hand,10 -1  TBD - Quantity on Hand,11 -1  TBD - Quantity on Hand,12 -1 TBD - Quantity on Hand,13 -1 TBD - Quantity on Hand,14 -1  TBD - Quantity on Hand,15 -1  TBD - Quantity on Hand,16 -1  TBD - Quantity on Hand,17 -1  TBD - Quantity on Hand,0-Shopify - Quantity on Hand
Wona Trading,485045,840137820115,All Things Christmas Holiday Face Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 7” x 5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,Red Dark,,$9.00,,$2.03,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,40
Wona Trading,485047,840137820122,Santa Claus Face Holiday Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 7” x 5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,Red Medium,,$9.00,,$2.03,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,30
Wona Trading,485048,840137820139,Carrot Nose Snowman Holiday Face Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 7” x 5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,White,,$9.00,,$2.03,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,40
Wona Trading,485049,840137820146,Kids' Merry Christmas Holiday Face Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 6” x 3.5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,Blue Medium,,$6.00,,$2.00,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,40
Wona Trading,485050,840137820153,Kids' Rudolph Holiday Face Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 6” x 3.5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,Red Medium,,$6.00,,$2.00,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,30
Wona Trading,485051,840137820160,Kids' Santas Beard Holiday Face Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 6” x 3.5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,Red Medium,,$6.00,,$2.00,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,30
Wona Trading,485052,840137820177,Kids' Snowman Face Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 6” x 3.5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,Blue Medium,,$6.00,,$2.00,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,30
Wona Trading,485460,840137820184,Kids' Blue Snowflake Face Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 6” x 3.5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,Blue Light,,$6.00,,$2.00,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,50
Wona Trading,485056,840137820191,Kids' All Things Christmas Holiday Face Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 6” x 3.5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,Red Dark,,$6.00,,$2.00,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,20
Wona Trading,485058,840137820207,Kids' Carrot Nose Snowman Holiday Face Mask,"<div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Size: 6” x 3.5” (Approximately)</li>
<li>Washable and Reusable </li>
<li>Cotton Lining</li>
<li>Easy to Breathe Through</li>
<li>Soft, odorless, non irritating</li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul>",Charming Charlie,skubana-fullfillment,Accessories,White,,$14.00,,$2.00,,,1-Masks,2-Single,3-Cash,4-Cotton,5-Holiday,6-Classic,7-None,8-None,9-None,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,70
